project,issue type,issue_status,issue_num,user_name,datetime,comment type,related_issue,issue_url,,,
botpress,Functional,Closed,#5423,pooja-botpress,8-Sep-21,Commented,,https://github.com/botpress/issues/5423,,,Color
botpress,Functional,Closed,#5423,laurentlp,9-Sep-21,Commented,,https://github.com/botpress/issues/5423,,,Display
botpress,Functional,Closed,#5423,charlescatta,6-Oct-21,Commented,,https://github.com/botpress/issues/5423,,,Functional
botpress,Functional,Closed,#5423,JustusNBB,8-Oct-21,Commented,,https://github.com/botpress/issues/5423,,,Hearing devices
botpress,Functional,Closed,#5423,Michael-N-M,9-Sep-21,Modified,,https://github.com/botpress/issues/5423,,,Layout
botpress,Functional,Closed,#5423,laurentlp,13-Oct-21,Solved,#5564,https://github.com/botpress/issues/5423,,,Screen reader
botpress,Functional,Closed,#5423,laurentlp,14-Oct-21,Solved,,https://github.com/botpress/issues/5423,,,Switch Control
botpress,Functional,Closed,#5423,EFF,22-Oct-21,Solved,#5595,https://github.com/botpress/issues/5423,,,Voice Control
botpress,Screen reader,Closed,#2170,moeidsaleem,29-Jul-19,Modified,,https://github.com/botpress/botpress/issues/2170,,,New Requriment 
botpress,Screen reader,Closed,#2170,EFF,16-Aug-19,Commented,,https://github.com/botpress/botpress/issues/2170,,,Capturing Imagery
botpress,Screen reader,Closed,#2170,stale,12-Feb-20,Commented,,https://github.com/botpress/botpress/issues/2170,,,
botpress,Screen reader,Closed,#2170,moeidsaleem,29-Jul-19,Modified,,https://github.com/botpress/botpress/issues/2170,,,
botpress,Screen reader,Closed,#2170,stale,12-Feb-20,Modified,,https://github.com/botpress/botpress/issues/2170,,,
botpress,Screen reader,Closed,#2170,stale,13-Mar-20,Modified,,https://github.com/botpress/botpress/issues/2170,,,
botpress,Display,Open,#4326,laurentlp,18-Dec-20,Commented,,https://github.com/botpress/botpress/issues/4326,,,
botpress,Display,Open,#4326,laurentlp,18-Dec-20,Modified,,https://github.com/botpress/botpress/issues/4326,,,
botpress,Display,Open,#4326,laurentlp,5-Jan-21,Solved,#4322,https://github.com/botpress/botpress/issues/4326,,,
botpress,Display,Open,#4326,Michael-N-M,23-Jan-21,Modified,,https://github.com/botpress/botpress/issues/4326,,,
botpress,Display,Open,#4326,Michael-N-M,3-Feb-21,Modified,,https://github.com/botpress/botpress/issues/4326,,,
botpress,Layout,Open,#4504,Michael-N-M,10-Feb-21,Commented,,https://github.com/botpress/botpress/issues/4504,,,
botpress,Layout,Open,#4504,Michael-N-M,10-Feb-21,Modified,,https://github.com/botpress/botpress/issues/4504,,,
botpress,Layout,Open,#4504,Michael-N-M,11-Feb-21,Modified,,https://github.com/botpress/botpress/issues/4504,,,
botpress,Layout,Open,#4504,Michael-N-M,23-Feb-21,Modified,,https://github.com/botpress/botpress/issues/4504,,,
botpress,Layout,Open,#4504,Michael-N-M,23-Feb-21,Modified,,https://github.com/botpress/botpress/issues/4504,,,
botpress,Display,Closed,#3265,epaminond,23-Apr-20,Commented,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,stale,22-Jun-21,Commented,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,J-FMartin,20-Sep-21,Commented,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,epaminond,23-Apr-20,Modified,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,epaminond,23-Apr-20,Modified,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,epaminond,25-Apr-20,Modified,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,slvnperron,22-Oct-20,Modified,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,allardy,28-Oct-20,Modified,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,stale,22-Jun-21,Modified,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3265,J-FMartin,20-Sep-21,Closed,,https://github.com/botpress/botpress/issues/3265,,,
botpress,Display,Closed,#3320,BPMJoannette,12-May-20,Commented,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,allardy,12-May-20,Commented,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,MaxCloutier,22-Oct-20,Commented,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,allardy,28-Oct-20,Commented,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,BPMJoannette,12-May-20,Modified,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,BPMJoannette,12-May-20,Modified,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,MaxCloutier,12-May-20,Modified,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,slvnperron,21-Oct-20,Modified,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Closed,#3320,allardy,28-Oct-20,Closed,,https://github.com/botpress/botpress/issues/3320,,,
botpress,Display,Open,#11446,bassamtantawi-botpress,9-Feb-22,Commented,,https://github.com/botpress/botpress/issues/11446,,,
botpress,Display,Open,#11446,bassamtantawi-botpress,9-Feb-22,Modified,,https://github.com/botpress/botpress/issues/11446,,,
botpress,Display,Closed,#5763,Sameer4real,16-Dec-21,Commented,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,EFF,18-Dec-21,Commented,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,laurentlp,22-Dec-21,Commented,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,Sameer4real,23-Dec-21,Commented,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,laurentlp,10-Jan-22,Commented,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,laurentlp,11-Jan-22,Commented,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,Sameer4real,16-Dec-21,Modified,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,Sameer4real,16-Dec-21,Modified,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Display,Closed,#5763,laurentlp,10-Jan-22,Closed,,https://github.com/botpress/botpress/issues/5763,,,
botpress,Voice Control,Closed,#2980,cengizmurat,20-Feb-20,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,EFF,20-Feb-20,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,patlachance,21-Feb-20,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,SEPOL14,21-Feb-20,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,asashour,21-Feb-20,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,SEPOL14,29-Apr-20,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,stale,18-Jun-21,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,J-FMartin,17-Aug-21,Commented,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,cengizmurat,20-Feb-20,Modified,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,EFF,20-Feb-20,Modified,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,slvnperron,22-Oct-20,Modified,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,allardy,28-Oct-20,Modified,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,stale,18-Jun-21,Modified,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Voice Control,Closed,#2980,J-FMartin,17-Aug-21,Closed,,https://github.com/botpress/botpress/issues/2980,,,
botpress,Switch Control,Closed,#11429,Jeremynano,8-Feb-22,Commented,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Switch Control,Closed,#11429,acclogin80,9-Feb-22,Commented,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Switch Control,Closed,#11429,acclogin80,11-Feb-22,Commented,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Switch Control,Closed,#11429,Jeremynano,11-Feb-22,Commented,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Switch Control,Closed,#11429,acclogin80,11-Feb-22,Commented,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Switch Control,Closed,#11429,Jeremynano,8-Feb-22,Modified,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Switch Control,Closed,#11429,Jeremynano,10-Feb-22,Closed,,https://github.com/botpress/botpress/issues/11429,,,
botpress,Display,Closed,#5533,mmmatej,4-Oct-21,Commented,,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5533,mmmatej,4-Oct-21,Modified,,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5533,charlescatta,6-Oct-21,Modified,,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5533,laurentlp,13-Oct-21,Solved,#5563,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5533,laurentlp,15-Oct-21,Solved,,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5533,EFF,22-Oct-21,Solved,#5595,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5533,Michael-N-M,26-Oct-21,Modified,,https://github.com/botpress/botpress/issues/5533,,,
botpress,Display,Closed,#5253,hacheybj,4-Aug-21,Commented,,https://github.com/botpress/botpress/issues/5253,,,
botpress,Display,Closed,#5253,charlescatta,6-Oct-21,Commented,,https://github.com/botpress/botpress/issues/5253,,,
botpress,Display,Closed,#5253,hacheybj,4-Aug-21,Modified,,https://github.com/botpress/botpress/issues/5253,,,
botpress,Display,Closed,#5253,EFF,25-Aug-21,Solved,#5349,https://github.com/botpress/botpress/issues/5253,,,
botpress,Display,Closed,#5253,Michael-N-M,6-Sep-21,Modified,,https://github.com/botpress/botpress/issues/5253,,,
botpress,Display,Closed,#5253,charlescatta,6-Oct-21,Closed,,https://github.com/botpress/botpress/issues/5253,,,
botpress,Display,Closed,#5060,hacheybj,2-Jun-21,Commented,,https://github.com/botpress/botpress/issues/5060,,,
botpress,Display,Closed,#5060,EFF,5-Oct-21,Commented,,https://github.com/botpress/botpress/issues/5060,,,
botpress,Display,Closed,#5060,hacheybj,2-Jun-21,Modified,,https://github.com/botpress/botpress/issues/5060,,,
botpress,Display,Closed,#5060,daehli,17-Jun-21,Modified,,https://github.com/botpress/botpress/issues/5060,,,
botpress,Display,Closed,#5060,daehli,17-Jun-21,Solved,#5123,https://github.com/botpress/botpress/issues/5060,,,
botpress,Display,Closed,#5060,EFF,5-Oct-21,Closed,,https://github.com/botpress/botpress/issues/5060,,,
botpress,Display,Closed,#5051,Michael-N-M,1-Jun-21,Commented,,https://github.com/botpress/botpress/issues/5051,,,
botpress,Display,Closed,#5051,Michael-N-M,1-Jun-21,Modified,,https://github.com/botpress/botpress/issues/5051,,,
botpress,Display,Closed,#5051,J-FMartin,7-Sep-21,Modified,#2244,https://github.com/botpress/botpress/issues/5051,,,
botpress,Display,Closed,#5051,laurentlp,2-Dec-21,Solved,#5736,https://github.com/botpress/botpress/issues/5051,,,
botpress,Display,Closed,#5051,charlescatta,2-Dec-21,Modified,#5716,https://github.com/botpress/botpress/issues/5051,,,
botpress,Display,Closed,#5051,laurentlp,10-Dec-21,Solved,,https://github.com/botpress/botpress/issues/5051,,,
botpress,Display,Closed,#4567,nbesh761,2-Mar-21,Commented,,https://github.com/botpress/botpress/issues/4567,,,
botpress,Display,Closed,#4567,Michael-N-M,3-Mar-21,Commented,,https://github.com/botpress/botpress/issues/4567,,,
botpress,Display,Closed,#4567,nbesh761,3-Mar-21,Commented,,https://github.com/botpress/botpress/issues/4567,,,
botpress,Display,Closed,#4567,J-FMartin,27-Sep-21,Commented,,https://github.com/botpress/botpress/issues/4567,,,
botpress,Display,Closed,#4567,Michael-N-M,3-Mar-21,Modified,,https://github.com/botpress/botpress/issues/4567,,,
botpress,Display,Closed,#4567,Michael-N-M,3-Mar-21,Modified,,https://github.com/botpress/botpress/issues/4567,,,
botpress,Display,Closed,#4567,Michael-N-M,3-Mar-21,Modified,,https://github.com/botpress/botpress/issues/4567,,,
