project,issue_status,issue_num,comment type,,,,
botpress,Closed,#5423,Commented,,,,
botpress,Closed,#5423,Commented,,,,
botpress,Closed,#5423,Commented,,,,
botpress,Closed,#5423,Commented,,,,
botpress,Closed,#5423,Modified,,,,
botpress,Closed,#5423,Solved,,,,
botpress,Closed,#5423,Solved,,,,
botpress,Closed,#5423,Solved,,,,
botpress,Closed,#2170,Modified,,,,
botpress,Closed,#2170,Commented,,,,
botpress,Closed,#2170,Commented,,,,
botpress,Closed,#2170,Modified,,,,
botpress,Closed,#2170,Modified,,,,
botpress,Closed,#2170,Modified,,,,
botpress,Open,#4326,Commented,,,,
botpress,Open,#4326,Modified,,,,
botpress,Open,#4326,Solved,,,,
botpress,Open,#4326,Modified,,,,
botpress,Open,#4326,Modified,,,,
botpress,Open,#4504,Commented,,,,
botpress,Open,#4504,Modified,,,,
botpress,Open,#4504,Modified,,,,
botpress,Open,#4504,Modified,,,,
botpress,Open,#4504,Modified,,,,
botpress,Closed,#3265,Commented,,,,
botpress,Closed,#3265,Commented,,,,
botpress,Closed,#3265,Commented,,,,
botpress,Closed,#3265,Modified,,,,
botpress,Closed,#3265,Modified,,,,
botpress,Closed,#3265,Modified,,,,
botpress,Closed,#3265,Modified,,,,
botpress,Closed,#3265,Modified,,,,
botpress,Closed,#3265,Modified,,,,
botpress,Closed,#3265,Closed,,,,
botpress,Closed,#3320,Commented,,,,
botpress,Closed,#3320,Commented,,,,
botpress,Closed,#3320,Commented,,,,
botpress,Closed,#3320,Commented,,,,
botpress,Closed,#3320,Modified,,,,
botpress,Closed,#3320,Modified,,,,
botpress,Closed,#3320,Modified,,,,
botpress,Closed,#3320,Modified,,,,
botpress,Closed,#3320,Closed,,,,
botpress,Open,#11446,Commented,,,,
botpress,Open,#11446,Modified,,,,
botpress,Closed,#5763,Commented,,,,
botpress,Closed,#5763,Commented,,,,
botpress,Closed,#5763,Commented,,,,
botpress,Closed,#5763,Commented,,,,
botpress,Closed,#5763,Commented,,,,
botpress,Closed,#5763,Commented,,,,
botpress,Closed,#5763,Modified,,,,
botpress,Closed,#5763,Modified,,,,
botpress,Closed,#5763,Closed,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Commented,,,,
botpress,Closed,#2980,Modified,,,,
botpress,Closed,#2980,Modified,,,,
botpress,Closed,#2980,Modified,,,,
botpress,Closed,#2980,Modified,,,,
botpress,Closed,#2980,Modified,,,,
botpress,Closed,#2980,Closed,,,,
botpress,Closed,#11429,Commented,,,,
botpress,Closed,#11429,Commented,,,,
botpress,Closed,#11429,Commented,,,,
botpress,Closed,#11429,Commented,,,,
botpress,Closed,#11429,Commented,,,,
botpress,Closed,#11429,Modified,,,,
botpress,Closed,#11429,Closed,,,,
botpress,Closed,#5533,Commented,,,,
botpress,Closed,#5533,Modified,,,,
botpress,Closed,#5533,Modified,,,,
botpress,Closed,#5533,Solved,,,,
botpress,Closed,#5533,Solved,,,,
botpress,Closed,#5533,Solved,,,,
botpress,Closed,#5533,Modified,,,,
botpress,Closed,#5253,Commented,,,,
botpress,Closed,#5253,Commented,,,,
botpress,Closed,#5253,Modified,,,,
botpress,Closed,#5253,Solved,,,,
botpress,Closed,#5253,Modified,,,,
botpress,Closed,#5253,Closed,,,,
botpress,Closed,#5060,Commented,,,,
botpress,Closed,#5060,Commented,,,,
botpress,Closed,#5060,Modified,,,,
botpress,Closed,#5060,Modified,,,,
botpress,Closed,#5060,Solved,,,,
botpress,Closed,#5060,Closed,,,,
botpress,Closed,#5051,Commented,,,,
botpress,Closed,#5051,Modified,,,,
botpress,Closed,#5051,Modified,,,,
botpress,Closed,#5051,Solved,,,,
botpress,Closed,#5051,Modified,,,,
botpress,Closed,#5051,Solved,,,,
botpress,Closed,#4567,Commented,,,,
botpress,Closed,#4567,Commented,,,,
botpress,Closed,#4567,Commented,,,,
botpress,Closed,#4567,Commented,,,,
botpress,Closed,#4567,Modified,,,,
botpress,Closed,#4567,Modified,,,,
botpress,Closed,#4567,Modified,,,,
botpress,Closed,#4567,Closed,,,,
photonix,Open,#387,Commented,,,,
photonix,Open,#387,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Commented,,,,
photonix,Open,#372,Modified,,,,
photonix,Open,#367,Commented,,,,
photonix,Open,#360,Commented,,,,
photonix,Open,#360,Commented,,,,
photonix,Open,#360,Commented,,,,
photonix,Open,#360,Commented,,,,
photonix,Open,#346,Commented,,,,
photonix,Open,#346,Commented,,,,
photonix,Open,#346,Commented,,,,
photonix,Open,#346,Modified,,,,
photonix,Open,#336,Commented,,,,
photonix,Open,#336,Modified,,,,
photonix,Open,#336,Modified,,,,
photonix,Open,#336,Modified,,,,
photonix,Open,#336,Modified,,,,
photonix,Open,#319,Commented,,,,
photonix,Open,#319,Commented,,,,
photonix,Open,#319,Modified,,,,
photonix,Open,#296,Commented,,,,
photonix,Open,#296,Commented,,,,
photonix,Open,#230,Commented,,,,
photonix,Open,#230,Commented,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#230,Modified,,,,
photonix,Open,#209,Commented,,,,
photonix,Open,#209,Modified,,,,
photonix,Open,#37,Commented,,,,
photonix,Open,#37,Modified,,,,
photonix,Open,#10,Commented,,,,
photonix,Open,#10,Modified,,,,
photonix,Open,#49,Commented,,,,
photonix,Open,#49,Modified,,,,
photonix,Open,#49,Modified,,,,
rasa,Open,#10474,Commented,,,,
rasa,Open,#10474,Commented,,,,
rasa,Open,#10474,Modified,,,,
rasa,Open,#10474,Modified,,,,
rasa,Open,#10474,Modified,,,,
rasa,Open,#10474,Modified,,,,
rasa,Open,#10820,Commented,,,,
rasa,Open,#10820,Commented,,,,
rasa,Open,#10820,Commented,,,,
rasa,Open,#10820,Modified,,,,
rasa,Open,#10820,Modified,,,,
rasa,Open,#10820,Modified,,,,
rasa,Open,#10820,Modified,,,,
rasa,Closed,#6765,Commented,,,,
rasa,Closed,#6765,Modified,,,,
rasa,Closed,#6765,Modified,,,,
rasa,Closed,#6765,Modified,,,,
rasa,Closed,#6765,Solved,,,,
rasa,Closed,#6765,Solved,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Commented,,,,
rasa,Open,#11414,Modified,,,,
rasa,Open,#11414,Modified,,,,
rasa,Closed,#10823,Commented,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Modified,,,,
rasa,Closed,#10823,Solved,,,,
rasa,Closed,#10823,Solved,,,,
rasa,Closed,#10823,Closed,,,,
rasa,Open,#10803,Commented,,,,
rasa,Open,#10803,Commented,,,,
rasa,Open,#10803,Commented,,,,
rasa,Open,#10803,Modified,,,,
rasa,Open,#10803,Modified,,,,
rasa,Open,#10803,Modified,,,,
rasa,Closed,#10399,Commented,,,,
rasa,Closed,#10399,Commented,,,,
rasa,Closed,#10399,Modified,,,,
rasa,Closed,#10399,Modified,,,,
rasa,Closed,#10399,Modified,,,,
rasa,Closed,#10399,Solved,,,,
rasa,Closed,#10399,Solved,,,,
rasa,Closed,#10399,Closed,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Commented,,,,
rasa,Closed,#10102,Modified,,,,
rasa,Closed,#10102,Modified,,,,
rasa,Closed,#10102,Closed,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Commented,,,,
rasa,Closed,#6771,Modified,,,,
rasa,Closed,#6771,Modified,,,,
rasa,Closed,#6771,Modified,,,,
rasa,Closed,#6771,Closed,,,,
carla,Open,#5674,Commented,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Modified,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5678,Commented,,,,
carla,Open,#5627,Commented,,,,
carla,Open,#5627,Commented,,,,
carla,Open,#5584,Commented,,,,
carla,Open,#5584,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Commented,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Modified,,,,
rasa,Closed,#6568,Closed,,,,
rasa,Closed,#6156,Commented,,,,
rasa,Closed,#6156,Commented,,,,
rasa,Closed,#6156,Commented,,,,
rasa,Closed,#6156,Modified,,,,
rasa,Closed,#6156,Modified,,,,
rasa,Closed,#6156,Closed,,,,
rasa,Closed,#6156,Modified,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Modified,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5643,Commented,,,,
carla,Open,#5579,Commented,,,,
carla,Open,#5574,Commented,,,,
carla,Open,#5574,Commented,,,,
carla,Open,#5561,Commented,,,,
carla,Open,#5303,Commented,,,,
carla,Open,#5303,Commented,,,,
carla,Open,#5303,Commented,,,,
carla,Open,#5455,Commented,,,,
carla,Open,#5455,Commented,,,,
carla,Open,#5455,Modified,,,,
alan-sdk-web,Open,#49,Commented,,,,
alan-sdk-web,Open,#49,Commented,,,,
alan-sdk-web,Closed,#55,Commented,,,,
alan-sdk-web,Closed,#55,Commented,,,,
alan-sdk-web,Closed,#55,Closed,,,,
alan-sdk-web,Closed,#55,Modified,,,,
